"year","adm1","adm1_code","adm2","adm2_code","type","class1","class2","unit","value"
2020,"Chungcheongnam-do",34,"Cheonan-si",34010,"population","all households","female","persons",325048
2020,"Chungcheongnam-do",34,"Cheonan-si",34010,"mortality","All causes","total","per 100k population",320.6
2020,"Chungcheongnam-do",34,"Cheonan-si",34010,"mortality","All causes","male","per 100k population",434.5
2020,"Chungcheongnam-do",34,"Cheonan-si",34010,"mortality","All causes","female","per 100k population",224.3
2020,"Chungcheongnam-do",34,"Cheonan-si",34010,"economy","company","total","count",73365
2010,"Chungcheongnam-do",34,"Cheonan-si",34010,"economy","company","total","count",36095
2015,"Chungcheongnam-do",34,"Cheonan-si",34010,"economy","company","total","count",46226
2020,"Gyeongsangbuk-do",37,"Pohang-si",37010,"tax","income","general","million KRW",309010
2020,"Gyeongsangbuk-do",37,"Pohang-si",37010,"tax","income","labor","million KRW",665710
2010,"Gyeongsangbuk-do",37,"Pohang-si",37010,"population","all households","total","persons",494306
2010,"Gyeongsangbuk-do",37,"Pohang-si",37010,"population","all households","male","persons",246580
2010,"Gyeongsangbuk-do",37,"Pohang-si",37010,"population","all households","female","persons",247726
2015,"Gyeongsangbuk-do",37,"Pohang-si",37010,"population","all households","total","persons",493266
2015,"Gyeongsangbuk-do",37,"Pohang-si",37010,"population","all households","male","persons",245147
2015,"Gyeongsangbuk-do",37,"Pohang-si",37010,"population","all households","female","persons",248119
2020,"Gyeongsangbuk-do",37,"Pohang-si",37010,"population","all households","total","persons",484021
2020,"Gyeongsangbuk-do",37,"Pohang-si",37010,"population","all households","male","persons",243358
2020,"Gyeongsangbuk-do",37,"Pohang-si",37010,"population","all households","female","persons",240663
2020,"Gyeongsangbuk-do",37,"Pohang-si",37010,"mortality","All causes","total","per 100k population",317.5
2020,"Gyeongsangbuk-do",37,"Pohang-si",37010,"mortality","All causes","male","per 100k population",426.6
2020,"Gyeongsangbuk-do",37,"Pohang-si",37010,"mortality","All causes","female","per 100k population",225.7
2020,"Gyeongsangbuk-do",37,"Pohang-si",37010,"economy","company","total","count",58581
2010,"Gyeongsangbuk-do",37,"Pohang-si",37010,"economy","company","total","count",36052
2015,"Gyeongsangbuk-do",37,"Pohang-si",37010,"economy","company","total","count",40356
2020,"Gyeongsangnam-do",38,"Changwon-si",38110,"tax","income","general","million KRW",707124
2020,"Gyeongsangnam-do",38,"Changwon-si",38110,"tax","income","labor","million KRW",899025
2010,"Gyeongsangnam-do",38,"Changwon-si",38110,"population","all households","total","persons",1024653
2010,"Gyeongsangnam-do",38,"Changwon-si",38110,"population","all households","male","persons",511747
2010,"Gyeongsangnam-do",38,"Changwon-si",38110,"population","all households","female","persons",512906
2015,"Gyeongsangnam-do",38,"Changwon-si",38110,"population","all households","total","persons",1015936
2015,"Gyeongsangnam-do",38,"Changwon-si",38110,"population","all households","male","persons",507689
2015,"Gyeongsangnam-do",38,"Changwon-si",38110,"population","all households","female","persons",508247
2020,"Gyeongsangnam-do",38,"Changwon-si",38110,"population","all households","total","persons",993780
2020,"Gyeongsangnam-do",38,"Changwon-si",38110,"population","all households","male","persons",498999
2020,"Gyeongsangnam-do",38,"Changwon-si",38110,"population","all households","female","persons",494781
2020,"Gyeongsangnam-do",38,"Changwon-si",38110,"mortality","All causes","total","per 100k population",322.9
2020,"Gyeongsangnam-do",38,"Changwon-si",38110,"mortality","All causes","male","per 100k population",436.6
2020,"Gyeongsangnam-do",38,"Changwon-si",38110,"mortality","All causes","female","per 100k population",232
2010,"Gyeongsangnam-do",38,"Changwon-si",38110,"economy","company","total","count",73132
2015,"Gyeongsangnam-do",38,"Changwon-si",38110,"economy","company","total","count",83187
2020,"Gyeongsangnam-do",38,"Changwon-si",38110,"economy","company","total","count",114518
2020,"Jeollabuk-do",35,"Jeonju-si",35010,"tax","income","general","million KRW",450263
2020,"Jeollabuk-do",35,"Jeonju-si",35010,"tax","income","labor","million KRW",320014
2010,"Jeollabuk-do",35,"Jeonju-si",35010,"population","all households","total","persons",628421
2010,"Jeollabuk-do",35,"Jeonju-si",35010,"population","all households","male","persons",305161
2010,"Jeollabuk-do",35,"Jeonju-si",35010,"population","all households","female","persons",323260
2015,"Jeollabuk-do",35,"Jeonju-si",35010,"population","all households","total","persons",635258
2015,"Jeollabuk-do",35,"Jeonju-si",35010,"population","all households","male","persons",310383
2015,"Jeollabuk-do",35,"Jeonju-si",35010,"population","all households","female","persons",324875
2020,"Jeollabuk-do",35,"Jeonju-si",35010,"population","all households","total","persons",641967
2020,"Jeollabuk-do",35,"Jeonju-si",35010,"population","all households","male","persons",315262
2020,"Jeollabuk-do",35,"Jeonju-si",35010,"population","all households","female","persons",326705
2020,"Jeollabuk-do",35,"Jeonju-si",35010,"mortality","All causes","total","per 100k population",283.1
2020,"Jeollabuk-do",35,"Jeonju-si",35010,"mortality","All causes","male","per 100k population",378.4
2020,"Jeollabuk-do",35,"Jeonju-si",35010,"mortality","All causes","female","per 100k population",205.5
2020,"Jeollabuk-do",35,"Jeonju-si",35010,"economy","company","total","count",76263
2010,"Jeollabuk-do",35,"Jeonju-si",35010,"economy","company","total","count",42052
2015,"Jeollabuk-do",35,"Jeonju-si",35010,"economy","company","total","count",52338
2010,"Chungcheongbuk-do",33,"Cheongju-si",33010,"economy","company","total","count",42960
2010,"Chungcheongbuk-do",33,"Cheongju-si",33010,"housing","housing types","total","count",179908
2015,"Chungcheongbuk-do",33,"Cheongju-si",33040,"housing","housing types","total","count",242806
2020,"Chungcheongbuk-do",33,"Cheongju-si",33040,"housing","housing types","total","count",302927
2010,"Chungcheongnam-do",34,"Cheonan-si",34010,"housing","housing types","total","count",163550
2015,"Chungcheongnam-do",34,"Cheonan-si",34010,"housing","housing types","total","count",186771
2020,"Chungcheongnam-do",34,"Cheonan-si",34010,"housing","housing types","total","count",244364
2010,"Jeollabuk-do",35,"Jeonju-si",35010,"housing","housing types","total","count",184379
2015,"Jeollabuk-do",35,"Jeonju-si",35010,"housing","housing types","total","count",196062
2020,"Jeollabuk-do",35,"Jeonju-si",35010,"housing","housing types","total","count",240012
2010,"Gyeongsangbuk-do",37,"Pohang-si",37010,"housing","housing types","total","count",157557
2015,"Gyeongsangbuk-do",37,"Pohang-si",37010,"housing","housing types","total","count",167331
2020,"Gyeongsangbuk-do",37,"Pohang-si",37010,"housing","housing types","total","count",201611
2010,"Gyeongsangnam-do",38,"Changwon-si",38110,"housing","housing types","total","count",286769
2015,"Gyeongsangnam-do",38,"Changwon-si",38110,"housing","housing types","total","count",297807
2020,"Gyeongsangnam-do",38,"Changwon-si",38110,"housing","housing types","total","count",366057
2020,"Gyeongsangbuk-do",37,"Andong-si",37040,"tax","income","general","million KRW",61575
2020,"Gyeongsangbuk-do",37,"Andong-si",37040,"tax","income","labor","million KRW",114624
2010,"Gyeongsangbuk-do",37,"Andong-si",37040,"population","all households","total","persons",156309
2010,"Gyeongsangbuk-do",37,"Andong-si",37040,"population","all households","male","persons",75400
2010,"Gyeongsangbuk-do",37,"Andong-si",37040,"population","all households","female","persons",80909
2015,"Gyeongsangbuk-do",37,"Andong-si",37040,"population","all households","total","persons",159063
2015,"Gyeongsangbuk-do",37,"Andong-si",37040,"population","all households","male","persons",77842
2015,"Gyeongsangbuk-do",37,"Andong-si",37040,"population","all households","female","persons",81221
2020,"Gyeongsangbuk-do",37,"Andong-si",37040,"population","all households","total","persons",152981
2020,"Gyeongsangbuk-do",37,"Andong-si",37040,"population","all households","male","persons",75548
2020,"Gyeongsangbuk-do",37,"Andong-si",37040,"population","all households","female","persons",77433
2020,"Gyeongsangbuk-do",37,"Andong-si",37040,"mortality","All causes","total","per 100k population",353
2020,"Gyeongsangbuk-do",37,"Andong-si",37040,"mortality","All causes","male","per 100k population",504.1
2020,"Gyeongsangbuk-do",37,"Andong-si",37040,"mortality","All causes","female","per 100k population",230.4
2020,"Gyeongsangbuk-do",37,"Andong-si",37040,"economy","company","total","count",19976
2015,"Gyeongsangbuk-do",37,"Andong-si",37040,"economy","company","total","count",13526
2010,"Gyeongsangbuk-do",37,"Andong-si",37040,"economy","company","total","count",12469
2010,"Gyeongsangbuk-do",37,"Andong-si",37040,"housing","housing types","total","count",56446
2015,"Gyeongsangbuk-do",37,"Andong-si",37040,"housing","housing types","total","count",57790
2020,"Gyeongsangbuk-do",37,"Andong-si",37040,"housing","housing types","total","count",69997
2020,"Gyeonggi-do",31,"Ansan-si",31090,"tax","income","general","million KRW",364163
2020,"Gyeonggi-do",31,"Ansan-si",31090,"tax","income","labor","million KRW",589153
2010,"Gyeonggi-do",31,"Ansan-si",31090,"population","all households","total","persons",694234
2010,"Gyeonggi-do",31,"Ansan-si",31090,"population","all households","male","persons",349346
2010,"Gyeonggi-do",31,"Ansan-si",31090,"population","all households","female","persons",344888
2015,"Gyeonggi-do",31,"Ansan-si",31090,"population","all households","total","persons",674133
2015,"Gyeonggi-do",31,"Ansan-si",31090,"population","all households","male","persons",339874
2015,"Gyeonggi-do",31,"Ansan-si",31090,"population","all households","female","persons",334259
2020,"Gyeonggi-do",31,"Ansan-si",31090,"population","all households","total","persons",639817
2020,"Gyeonggi-do",31,"Ansan-si",31090,"population","all households","male","persons",323846
2020,"Gyeonggi-do",31,"Ansan-si",31090,"population","all households","female","persons",315971
2020,"Gyeonggi-do",31,"Ansan-si",31090,"mortality","All causes","total","per 100k population",335.6
2020,"Gyeonggi-do",31,"Ansan-si",31090,"mortality","All causes","male","per 100k population",450.3
2020,"Gyeonggi-do",31,"Ansan-si",31090,"mortality","All causes","female","per 100k population",240
2015,"Gyeonggi-do",31,"Ansan-si",31090,"economy","company","total","count",52090
2010,"Gyeonggi-do",31,"Ansan-si",31090,"economy","company","total","count",45278
2020,"Gyeonggi-do",31,"Ansan-si",31090,"economy","company","total","count",81784
2010,"Gyeonggi-do",31,"Ansan-si",31090,"housing","housing types","total","count",157912
2015,"Gyeonggi-do",31,"Ansan-si",31090,"housing","housing types","total","count",183560
2020,"Gyeonggi-do",31,"Ansan-si",31090,"housing","housing types","total","count",220241
2020,"Gyeonggi-do",31,"Anseong-si",31220,"tax","income","general","million KRW",108898
2020,"Gyeonggi-do",31,"Anseong-si",31220,"tax","income","labor","million KRW",197447
2010,"Gyeonggi-do",31,"Anseong-si",31220,"population","all households","total","persons",170937
2010,"Gyeonggi-do",31,"Anseong-si",31220,"population","all households","male","persons",86529
2010,"Gyeonggi-do",31,"Anseong-si",31220,"population","all households","female","persons",84408
2015,"Gyeonggi-do",31,"Anseong-si",31220,"population","all households","total","persons",175884
2015,"Gyeonggi-do",31,"Anseong-si",31220,"population","all households","male","persons",88951
2015,"Gyeonggi-do",31,"Anseong-si",31220,"population","all households","female","persons",86933
2020,"Gyeonggi-do",31,"Anseong-si",31220,"population","all households","total","persons",182729
2020,"Gyeonggi-do",31,"Anseong-si",31220,"population","all households","male","persons",93511
2020,"Gyeonggi-do",31,"Anseong-si",31220,"population","all households","female","persons",89218
2020,"Gyeonggi-do",31,"Anseong-si",31220,"mortality","All causes","total","per 100k population",315.7
2020,"Gyeonggi-do",31,"Anseong-si",31220,"mortality","All causes","male","per 100k population",414.3
2020,"Gyeonggi-do",31,"Anseong-si",31220,"mortality","All causes","female","per 100k population",231.9
2010,"Gyeonggi-do",31,"Anseong-si",31220,"economy","company","total","count",11549
2015,"Gyeonggi-do",31,"Anseong-si",31220,"economy","company","total","count",13722
2020,"Gyeonggi-do",31,"Anseong-si",31220,"economy","company","total","count",24888
2010,"Gyeonggi-do",31,"Anseong-si",31220,"housing","housing types","total","count",54921
2015,"Gyeonggi-do",31,"Anseong-si",31220,"housing","housing types","total","count",57612
2020,"Gyeonggi-do",31,"Anseong-si",31220,"housing","housing types","total","count",76636
2020,"Gyeonggi-do",31,"Anyang-si",31040,"tax","income","general","million KRW",499915
2020,"Gyeonggi-do",31,"Anyang-si",31040,"tax","income","labor","million KRW",518998
2010,"Gyeonggi-do",31,"Anyang-si",31040,"population","all households","total","persons",590246
2010,"Gyeonggi-do",31,"Anyang-si",31040,"population","all households","male","persons",288814
2010,"Gyeonggi-do",31,"Anyang-si",31040,"population","all households","female","persons",301432
2015,"Gyeonggi-do",31,"Anyang-si",31040,"population","all households","total","persons",570720
2015,"Gyeonggi-do",31,"Anyang-si",31040,"population","all households","male","persons",280214
2015,"Gyeonggi-do",31,"Anyang-si",31040,"population","all households","female","persons",290506
2020,"Gyeonggi-do",31,"Anyang-si",31040,"population","all households","total","persons",532260
2020,"Gyeonggi-do",31,"Anyang-si",31040,"population","all households","male","persons",260904
2020,"Gyeonggi-do",31,"Anyang-si",31040,"population","all households","female","persons",271356
2020,"Gyeonggi-do",31,"Anyang-si",31040,"mortality","All causes","total","per 100k population",257.5
2020,"Gyeonggi-do",31,"Anyang-si",31040,"mortality","All causes","male","per 100k population",350.7
2020,"Gyeonggi-do",31,"Anyang-si",31040,"mortality","All causes","female","per 100k population",182.5
2010,"Gyeonggi-do",31,"Anyang-si",31040,"economy","company","total","count",40740
2015,"Gyeonggi-do",31,"Anyang-si",31040,"economy","company","total","count",43617
2020,"Gyeonggi-do",31,"Anyang-si",31040,"economy","company","total","count",63348
2010,"Gyeonggi-do",31,"Anyang-si",31040,"housing","housing types","total","count",160729
2015,"Gyeonggi-do",31,"Anyang-si",31040,"housing","housing types","total","count",168782
2020,"Gyeonggi-do",31,"Anyang-si",31040,"housing","housing types","total","count",178613
2020,"Chungcheongnam-do",34,"Asan-si",34040,"tax","income","general","million KRW",223877
2020,"Chungcheongnam-do",34,"Asan-si",34040,"tax","income","labor","million KRW",378464
2010,"Chungcheongnam-do",34,"Asan-si",34040,"population","all households","total","persons",257159
2010,"Chungcheongnam-do",34,"Asan-si",34040,"population","all households","male","persons",134853
2010,"Chungcheongnam-do",34,"Asan-si",34040,"population","all households","female","persons",122306
2015,"Chungcheongnam-do",34,"Asan-si",34040,"population","all households","total","persons",286002
2015,"Chungcheongnam-do",34,"Asan-si",34040,"population","all households","male","persons",145800
2015,"Chungcheongnam-do",34,"Asan-si",34040,"population","all households","female","persons",140202
2020,"Chungcheongnam-do",34,"Asan-si",34040,"population","all households","total","persons",309732
2020,"Chungcheongnam-do",34,"Asan-si",34040,"population","all households","male","persons",159137
2020,"Chungcheongnam-do",34,"Asan-si",34040,"population","all households","female","persons",150595
2020,"Chungcheongnam-do",34,"Asan-si",34040,"mortality","All causes","total","per 100k population",305.7
2020,"Chungcheongnam-do",34,"Asan-si",34040,"mortality","All causes","male","per 100k population",416.6
2020,"Chungcheongnam-do",34,"Asan-si",34040,"mortality","All causes","female","per 100k population",209.1
2010,"Chungcheongnam-do",34,"Asan-si",34040,"economy","company","total","count",14406
2015,"Chungcheongnam-do",34,"Asan-si",34040,"economy","company","total","count",19858
2020,"Chungcheongnam-do",34,"Asan-si",34040,"economy","company","total","count",34436
2010,"Chungcheongnam-do",34,"Asan-si",34040,"housing","housing types","total","count",84440
2015,"Chungcheongnam-do",34,"Asan-si",34040,"housing","housing types","total","count",97092
2020,"Chungcheongnam-do",34,"Asan-si",34040,"housing","housing types","total","count",126319
2020,"Chungcheongbuk-do",33,"Boeun-gun",33320,"tax","income","general","million KRW",7396
2020,"Chungcheongbuk-do",33,"Boeun-gun",33320,"tax","income","labor","million KRW",16946
2010,"Chungcheongbuk-do",33,"Boeun-gun",33320,"population","all households","total","persons",29477
2010,"Chungcheongbuk-do",33,"Boeun-gun",33320,"population","all households","male","persons",13982
2010,"Chungcheongbuk-do",33,"Boeun-gun",33320,"population","all households","female","persons",15495
2015,"Chungcheongbuk-do",33,"Boeun-gun",33320,"population","all households","total","persons",31061
2015,"Chungcheongbuk-do",33,"Boeun-gun",33320,"population","all households","male","persons",15155
2015,"Chungcheongbuk-do",33,"Boeun-gun",33320,"population","all households","female","persons",15906
2020,"Chungcheongbuk-do",33,"Boeun-gun",33320,"population","all households","total","persons",30470
2020,"Chungcheongbuk-do",33,"Boeun-gun",33320,"population","all households","male","persons",15224
2020,"Chungcheongbuk-do",33,"Boeun-gun",33320,"population","all households","female","persons",15246
2020,"Chungcheongbuk-do",33,"Boeun-gun",33320,"mortality","All causes","total","per 100k population",368
2020,"Chungcheongbuk-do",33,"Boeun-gun",33320,"mortality","All causes","male","per 100k population",510.8
2020,"Chungcheongbuk-do",33,"Boeun-gun",33320,"mortality","All causes","female","per 100k population",225.2
2010,"Chungcheongbuk-do",33,"Boeun-gun",33320,"economy","company","total","count",2455
2020,"Chungcheongbuk-do",33,"Boeun-gun",33320,"economy","company","total","count",4246
2015,"Chungcheongbuk-do",33,"Boeun-gun",33320,"economy","company","total","count",2876
2010,"Chungcheongbuk-do",33,"Boeun-gun",33320,"housing","housing types","total","count",12548
2015,"Chungcheongbuk-do",33,"Boeun-gun",33320,"housing","housing types","total","count",12533
2020,"Chungcheongbuk-do",33,"Boeun-gun",33320,"housing","housing types","total","count",15702
2020,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"tax","income","general","million KRW",6984
2020,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"tax","income","labor","million KRW",9894
2010,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"population","all households","total","persons",30654
2010,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"population","all households","male","persons",14833
2010,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"population","all households","female","persons",15821
2015,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"population","all households","total","persons",30848
2015,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"population","all households","male","persons",15046
2015,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"population","all households","female","persons",15802
2020,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"population","all households","total","persons",29227
2020,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"population","all households","male","persons",14573
2020,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"population","all households","female","persons",14654
2020,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"mortality","All causes","total","per 100k population",389.9
2020,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"mortality","All causes","male","per 100k population",501.8
2020,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"mortality","All causes","female","per 100k population",288.5
2015,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"economy","company","total","count",2433
2010,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"economy","company","total","count",2295
2020,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"economy","company","total","count",3330
2010,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"housing","housing types","total","count",13125
2015,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"housing","housing types","total","count",12873
2020,"Gyeongsangbuk-do",37,"Bonghwa-gun",37410,"housing","housing types","total","count",15270
2020,"Chungcheongnam-do",34,"Boryeong-si",34030,"tax","income","general","million KRW",38896
2020,"Chungcheongnam-do",34,"Boryeong-si",34030,"tax","income","labor","million KRW",51361
2010,"Chungcheongnam-do",34,"Boryeong-si",34030,"population","all households","total","persons",95106
2010,"Chungcheongnam-do",34,"Boryeong-si",34030,"population","all households","male","persons",46298
2010,"Chungcheongnam-do",34,"Boryeong-si",34030,"population","all households","female","persons",48808
2015,"Chungcheongnam-do",34,"Boryeong-si",34030,"population","all households","total","persons",97527
2015,"Chungcheongnam-do",34,"Boryeong-si",34030,"population","all households","male","persons",48491
2015,"Chungcheongnam-do",34,"Boryeong-si",34030,"population","all households","female","persons",49036
2020,"Chungcheongnam-do",34,"Boryeong-si",34030,"population","all households","total","persons",95659
2020,"Chungcheongnam-do",34,"Boryeong-si",34030,"population","all households","male","persons",48324
2020,"Chungcheongnam-do",34,"Boryeong-si",34030,"population","all households","female","persons",47335
2020,"Chungcheongnam-do",34,"Boryeong-si",34030,"mortality","All causes","total","per 100k population",355.1
2020,"Chungcheongnam-do",34,"Boryeong-si",34030,"mortality","All causes","male","per 100k population",512.6
2020,"Chungcheongnam-do",34,"Boryeong-si",34030,"mortality","All causes","female","per 100k population",210.6
2010,"Chungcheongnam-do",34,"Boryeong-si",34030,"economy","company","total","count",7601
2015,"Chungcheongnam-do",34,"Boryeong-si",34030,"economy","company","total","count",8425
2020,"Chungcheongnam-do",34,"Boryeong-si",34030,"economy","company","total","count",13142
2010,"Chungcheongnam-do",34,"Boryeong-si",34030,"housing","housing types","total","count",36224
2015,"Chungcheongnam-do",34,"Boryeong-si",34030,"housing","housing types","total","count",36399
2020,"Chungcheongnam-do",34,"Boryeong-si",34030,"housing","housing types","total","count",44089
2020,"Jeollanam-do",36,"Boseong-gun",36360,"tax","income","general","million KRW",9866
2020,"Jeollanam-do",36,"Boseong-gun",36360,"tax","income","labor","million KRW",12921
2010,"Jeollanam-do",36,"Boseong-gun",36360,"population","all households","total","persons",39044
2010,"Jeollanam-do",36,"Boseong-gun",36360,"population","all households","male","persons",17594
2010,"Jeollanam-do",36,"Boseong-gun",36360,"population","all households","female","persons",21450
2015,"Jeollanam-do",36,"Boseong-gun",36360,"population","all households","total","persons",39254
2015,"Jeollanam-do",36,"Boseong-gun",36360,"population","all households","male","persons",18632
2015,"Jeollanam-do",36,"Boseong-gun",36360,"population","all households","female","persons",20622
2020,"Jeollanam-do",36,"Boseong-gun",36360,"population","all households","total","persons",36466
2020,"Jeollanam-do",36,"Boseong-gun",36360,"population","all households","male","persons",17660
2020,"Jeollanam-do",36,"Boseong-gun",36360,"population","all households","female","persons",18806
2020,"Jeollanam-do",36,"Boseong-gun",36360,"mortality","All causes","total","per 100k population",368.5
2020,"Jeollanam-do",36,"Boseong-gun",36360,"mortality","All causes","male","per 100k population",557.4
2020,"Jeollanam-do",36,"Boseong-gun",36360,"mortality","All causes","female","per 100k population",196.5
2020,"Jeollanam-do",36,"Boseong-gun",36360,"economy","company","total","count",5030
2010,"Jeollanam-do",36,"Boseong-gun",36360,"economy","company","total","count",3156
2015,"Jeollanam-do",36,"Boseong-gun",36360,"economy","company","total","count",3894
2010,"Jeollanam-do",36,"Boseong-gun",36360,"housing","housing types","total","count",17929
2015,"Jeollanam-do",36,"Boseong-gun",36360,"housing","housing types","total","count",16822
2020,"Jeollanam-do",36,"Boseong-gun",36360,"housing","housing types","total","count",19464
2020,"Jeollabuk-do",35,"Buan-gun",35380,"tax","income","general","million KRW",12968
2020,"Jeollabuk-do",35,"Buan-gun",35380,"tax","income","labor","million KRW",13968
2010,"Jeollabuk-do",35,"Buan-gun",35380,"population","all households","total","persons",49538
2010,"Jeollabuk-do",35,"Buan-gun",35380,"population","all households","male","persons",22988
2010,"Jeollabuk-do",35,"Buan-gun",35380,"population","all households","female","persons",26550
2015,"Jeollabuk-do",35,"Buan-gun",35380,"population","all households","total","persons",50681
2015,"Jeollabuk-do",35,"Buan-gun",35380,"population","all households","male","persons",24559
2015,"Jeollabuk-do",35,"Buan-gun",35380,"population","all households","female","persons",26122
2020,"Jeollabuk-do",35,"Buan-gun",35380,"population","all households","total","persons",48160
2020,"Jeollabuk-do",35,"Buan-gun",35380,"population","all households","male","persons",23782
2020,"Jeollabuk-do",35,"Buan-gun",35380,"population","all households","female","persons",24378
2020,"Jeollabuk-do",35,"Buan-gun",35380,"mortality","All causes","total","per 100k population",363.6
2020,"Jeollabuk-do",35,"Buan-gun",35380,"mortality","All causes","male","per 100k population",483.4
2020,"Jeollabuk-do",35,"Buan-gun",35380,"mortality","All causes","female","per 100k population",263.3
2015,"Jeollabuk-do",35,"Buan-gun",35380,"economy","company","total","count",4784
2010,"Jeollabuk-do",35,"Buan-gun",35380,"economy","company","total","count",4490
2020,"Jeollabuk-do",35,"Buan-gun",35380,"economy","company","total","count",7466
2010,"Jeollabuk-do",35,"Buan-gun",35380,"housing","housing types","total","count",20861
2015,"Jeollabuk-do",35,"Buan-gun",35380,"housing","housing types","total","count",20362
2020,"Jeollabuk-do",35,"Buan-gun",35380,"housing","housing types","total","count",24541
2020,"Gyeonggi-do",31,"Bucheon-si",31050,"tax","income","general","million KRW",539062
2020,"Gyeonggi-do",31,"Bucheon-si",31050,"tax","income","labor","million KRW",381813
2010,"Gyeonggi-do",31,"Bucheon-si",31050,"population","all households","total","persons",834759
2010,"Gyeonggi-do",31,"Bucheon-si",31050,"population","all households","male","persons",408895
2010,"Gyeonggi-do",31,"Bucheon-si",31050,"population","all households","female","persons",425864
2015,"Gyeonggi-do",31,"Bucheon-si",31050,"population","all households","total","persons",811896
2015,"Gyeonggi-do",31,"Bucheon-si",31050,"population","all households","male","persons",399811
2015,"Gyeonggi-do",31,"Bucheon-si",31050,"population","all households","female","persons",412085
2020,"Gyeonggi-do",31,"Bucheon-si",31050,"population","all households","total","persons",796669
2020,"Gyeonggi-do",31,"Bucheon-si",31050,"population","all households","male","persons",391606
2020,"Gyeonggi-do",31,"Bucheon-si",31050,"population","all households","female","persons",405063
2020,"Gyeonggi-do",31,"Bucheon-si",31050,"mortality","All causes","total","per 100k population",296.3
2020,"Gyeonggi-do",31,"Bucheon-si",31050,"mortality","All causes","male","per 100k population",400.1
2020,"Gyeonggi-do",31,"Bucheon-si",31050,"mortality","All causes","female","per 100k population",214.1
2015,"Gyeonggi-do",31,"Bucheon-si",31050,"economy","company","total","count",59219
2010,"Gyeonggi-do",31,"Bucheon-si",31050,"economy","company","total","count",54767
2020,"Gyeonggi-do",31,"Bucheon-si",31050,"economy","company","total","count",90250
